session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-11-06,32,103,1,2,09:51:30,10:10:15,32_103_1,CuraDiretta,0,09:51:30,10:01:25,00:09:55,00:09:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32_103_3,32_103_2,1,2,32_103_2,09:52:28,10:01:25,"","","","","","","","","","","","",00:08:57,false,"",0,"","","",00:09:55,"","","","",TRUE
2018-11-06,32,103,1,2,09:51:30,10:10:15,32_103_2,CuraDiretta,0,09:52:28,10:01:25,00:08:57,00:08:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32_103_3,32_103_1,1,2,32_103_1,09:52:28,10:01:25,"","","","","","","","","","","","",00:08:57,false,"",0,"","","",00:08:57,"","","","",TRUE
2018-11-06,32,103,1,2,09:51:30,10:10:15,32_103_3,Terapia,Preparazione farmaco,10:01:25,10:10:15,00:08:50,00:07:04,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,user,32_103_4,1,2,32_103_4,10:04:03,10:05:40,"","","","","","","","","","","","",00:01:37,false,32_103_4,1,32_103_4,10:02:17,10:04:03,00:00:52,00:06:12,00:01:46,"","",TRUE
2018-11-06,32,103,1,2,09:51:30,10:10:15,32_103_4,ComSociale,0,10:02:17,10:05:40,00:03:23,00:03:23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,user,32_103_3,1,2,32_103_3,10:04:03,10:05:40,"","","","","","","","","","","","",00:01:37,true,"",0,"","","",00:03:23,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_5,Terapia,Allestimento/Riordino/smaltimento,10:16:25,10:21:08,00:04:43,00:04:43,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,32_104_6,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:04:43,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_6,Terapia,Preparazione farmaco,10:21:08,10:22:55,00:01:47,00:01:47,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,32_104_7,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:01:47,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_7,Spostamenti,0,10:22:55,10:24:02,00:01:07,00:01:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32_104_8,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:01:07,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_8,CuraIndiretta,"Ricerca materiali (guanti, devices)",10:24:02,10:24:19,00:00:17,00:00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,32_104_9,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:17,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_9,Spostamenti,0,10:24:19,10:27:20,00:03:01,00:03:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32_104_10,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:03:01,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_10,Terapia,Lettura prescrizione,10:27:20,10:28:46,00:01:26,00:01:26,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,32_104_11,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:01:26,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_11,Terapia,Preparazione farmaco,10:28:46,10:33:02,00:04:16,00:04:16,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,32_104_13,32_104_12,1,2,32_104_12,10:29:50,10:30:34,"","","","","","","","","","","","",00:00:44,false,"",0,"","","",00:04:16,"","","","",TRUE
2018-11-06,32,104,p1,2,10:16:25,11:11:35,32_104_12,Terapia,Lettura prescrizione,10:29:50,10:30:34,00:00:44,00:00:44,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,user,32_104_11,1,2,32_104_11,10:29:50,10:30:34,"","","","","","","","","","","","",00:00:44,false,"",0,"","","",00:00:44,"","","","",TRUE
