session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2149,Terapia,Preparazione farmaco,11:54:26,11:55:38,00:01:12,00:01:12,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2151,40_376_2150,1,2,40_376_2150,11:54:52,11:55:13,"","","","","","","","","","","","",00:00:21,false,"",0,"","","",00:01:12,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2150,ComProfessionale,0,11:54:52,11:55:13,00:00:21,00:00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,user,40_376_2149,1,2,40_376_2149,11:54:52,11:55:13,"","","","","","","","","","","","",00:00:21,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2151,Spostamenti,0,11:55:38,11:55:51,00:00:13,00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40_376_2152,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:13,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2152,ComProfessionale,0,11:55:51,11:58:17,00:02:26,00:02:26,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,40_376_2155,"40_376_2153,40_376_2154",2,2,40_376_2153,11:56:52,11:57:51,2,40_376_2154,11:57:55,11:58:13,"","","","","","","","",00:01:17,false,"",0,"","","",00:02:26,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2153,Terapia,Somministrazione pillole,11:56:52,11:57:51,00:00:59,00:00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,user,40_376_2152,1,2,40_376_2152,11:56:52,11:57:51,"","","","","","","","","","","","",00:00:59,false,"",0,"","","",00:00:59,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2154,Terapia,Somministrazione iniettabili,11:57:55,11:58:13,00:00:18,00:00:18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,user,40_376_2152,1,2,40_376_2152,11:57:55,11:58:13,"","","","","","","","","","","","",00:00:18,false,"",0,"","","",00:00:18,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2155,Spostamenti,0,11:58:17,11:58:38,00:00:21,00:00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40_376_2156,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2156,Terapia,Allestimento/Riordino/smaltimento,11:58:38,11:58:45,00:00:07,00:00:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40_376_2157,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:07,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2157,Terapia,Lettura prescrizione,11:58:45,11:59:09,00:00:24,00:00:24,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2159,40_376_2158,1,2,40_376_2158,11:58:58,11:59:06,"","","","","","","","","","","","",00:00:08,false,"",0,"","","",00:00:24,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2158,ComProfessionale,0,11:58:58,11:59:06,00:00:08,00:00:08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,user,40_376_2157,1,2,40_376_2157,11:58:58,11:59:06,"","","","","","","","","","","","",00:00:08,false,"",0,"","","",00:00:08,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2159,Terapia,Preparazione farmaco,11:59:09,11:59:50,00:00:41,00:00:41,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2160,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:41,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2160,Terapia,Allestimento/Riordino/smaltimento,11:59:50,12:00:07,00:00:17,00:00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,40_376_2161,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:17,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2161,Terapia,Preparazione farmaco,12:00:07,12:00:19,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2162,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2162,Terapia,Lettura prescrizione,12:00:19,12:00:27,00:00:08,00:00:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2163,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:08,"","","","",TRUE
2018-12-20,40,376,p1,1,11:54:26,12:03:25,40_376_2163,Terapia,Preparazione farmaco,12:00:27,12:00:39,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,40_376_2164,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
