session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_966,Terapia,Preparazione farmaco,08:52:29,08:53:00,00:00:31,00:00:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_967,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:31,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_967,Terapia,Lettura prescrizione,08:53:00,08:53:11,00:00:11,00:00:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_968,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:11,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_968,ComProfessionale,0,08:53:11,08:53:48,00:00:37,00:00:37,1,1,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,4_296_969,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:37,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_969,ComProfessionale,0,08:53:48,08:54:02,00:00:14,00:00:14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4_296_970,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:14,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_970,Terapia,Preparazione farmaco,08:54:02,08:54:38,00:00:36,00:00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_972,4_296_971,1,2,4_296_971,08:54:09,08:54:38,"","","","","","","","","","","","",00:00:29,false,"",0,"","","",00:00:36,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_971,ComProfessionale,0,08:54:09,08:54:38,00:00:29,00:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_972,4_296_970,1,2,4_296_970,08:54:09,08:54:38,"","","","","","","","","","","","",00:00:29,false,"",0,"","","",00:00:29,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_972,ComProfessionale,0,08:54:38,08:55:19,00:00:41,00:00:41,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4_296_973,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:41,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_973,Terapia,Lettura prescrizione,08:55:19,08:55:53,00:00:34,00:00:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_975,4_296_974,1,2,4_296_974,08:55:32,08:55:53,"","","","","","","","","","","","",00:00:21,false,"",0,"","","",00:00:34,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_974,Terapia,Preparazione farmaco,08:55:32,08:55:53,00:00:21,00:00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_296_975,4_296_973,1,2,4_296_973,08:55:32,08:55:53,"","","","","","","","","","","","",00:00:21,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-12-10,4,296,c1,1,08:52:29,09:09:47,4_296_975,Terapia,Spunta STU somministrazione,08:55:53,08:56:36,00:00:43,00:00:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,user,4_296_976,1,2,4_296_976,08:56:03,08:56:36,"","","","","","","","","","","","",00:00:33,false,"",0,"","","",00:00:43,"","","","",TRUE
