session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,int task id 2,int start 2,int end 2,active 1,active 2,active 3,inactive 1,inactive 2,Participant: Age,Participant: Occupation,is session complete?
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_373,Terapia,Preparazione farmaco,12:19:01,12:19:33,00:00:32,00:00:32,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,41_127_374,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:32,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_374,Spostamenti,0,12:19:33,12:19:37,00:00:04,00:00:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_127_375,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:04,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_375,Terapia,Lettura prescrizione,12:19:37,12:19:53,00:00:16,00:00:16,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanza Paziente,41_127_376,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:16,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_376,Terapia,Allestimento/Riordino/smaltimento,12:19:53,12:20:10,00:00:17,00:00:17,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanza Paziente,41_127_377,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:17,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_377,CuraDiretta,0,12:20:10,12:20:16,00:00:06,00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_127_378,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:06,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_378,Terapia,Preparazione farmaco,12:20:16,12:21:21,00:01:05,00:01:05,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_127_380,41_127_379,1,2,41_127_379,12:20:29,12:21:19,"","","","","","","","","","","","",00:00:50,false,"",0,"","","","","","",00:01:05,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_379,ComProfessionale,0,12:20:29,12:21:19,00:00:50,00:00:50,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,41_127_378,1,2,41_127_378,12:20:29,12:21:19,"","","","","","","","","","","","",00:00:50,false,"",0,"","","","","","",00:00:50,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_380,Spostamenti,0,12:21:21,12:21:41,00:00:20,00:00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_127_381,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:20,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_381,CuraIndiretta,"Ricerca materiali (guanti, devices)",12:21:41,12:21:55,00:00:14,00:00:14,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,41_127_382,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:14,"","","","","","",TRUE
2018-11-08,41,127,p1,1,12:19:01,12:53:06,41_127_382,Spostamenti,0,12:21:55,12:25:01,00:03:06,00:03:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41_127_385,"41_127_383,41_127_384",2,2,41_127_383,12:22:06,12:24:23,2,41_127_384,12:24:25,12:24:56,"","","","","","","","",00:02:48,false,"",0,"","","","","","",00:03:06,"","","","","","",TRUE
