session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,int task id 2,int start 2,int end 2,int task id 3,int start 3,int end 3,active 1,active 2,active 3,active 4,inactive 1,inactive 2,inactive 3,Participant: Age,Participant: Occupation,is session complete?
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_128,Terapia,Preparazione farmaco,08:56:45,08:58:45,00:02:00,00:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,17_29_130,17_29_129,1,2,17_29_129,08:57:32,08:58:41,"","","","","","","","","","","","",00:01:09,false,"",0,"","","","","","","","","",00:02:00,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_129,ComSociale,0,08:57:32,08:58:41,00:01:09,00:01:09,1,1,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,17_29_128,1,2,17_29_128,08:57:32,08:58:41,"","","","","","","","","","","","",00:01:09,false,"",0,"","","","","","","","","",00:01:09,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_130,Igiene Mani,0,08:58:45,09:00:23,00:01:38,00:01:38,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,17_29_131,1,2,17_29_131,08:59:03,09:00:23,"","","","","","","","","","","","",00:01:20,false,"",0,"","","","","","","","","",00:01:38,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_131,Terapia,Preparazione farmaco,08:59:03,09:00:41,00:01:38,00:01:38,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,17_29_132,17_29_130,1,2,17_29_130,08:59:03,09:00:23,"","","","","","","","","","","","",00:01:20,false,"",0,"","","","","","","","","",00:01:38,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_132,ComSociale,0,09:00:41,09:02:14,00:01:33,00:00:14,0,0,1,0,0,0,0,0,0,0,0,0,0,Corridoio,user,17_29_133,1,2,17_29_133,09:02:12,09:02:14,"","","","","","","","","","","","",00:00:02,false,17_29_133,1,17_29_133,09:00:53,09:02:12,"","","","","","",00:00:12,00:00:02,"","",00:01:19,"","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_133,Terapia,Lettura prescrizione,09:00:53,09:07:40,00:06:47,00:04:34,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,17_29_137,"17_29_132,17_29_134,17_29_136",3,2,17_29_132,09:02:12,09:02:14,2,17_29_134,09:04:18,09:04:25,2,17_29_136,09:07:03,09:07:29,"","","","",00:00:35,true,"17_29_134,17_29_135",2,17_29_134,09:03:59,09:04:18,17_29_135,09:04:27,09:06:21,"","","",00:03:06,00:00:09,00:01:19,"",00:00:19,00:01:54,"","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_134,ComSociale,0,09:03:59,09:04:25,00:00:26,00:00:26,0,0,1,0,0,0,0,0,0,0,0,0,0,Corridoio,user,17_29_133,1,2,17_29_133,09:04:18,09:04:25,"","","","","","","","","","","","",00:00:07,true,"",0,"","","","","","","","","",00:00:26,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_135,ComProfessionale,0,09:04:27,09:06:21,00:01:54,00:01:54,0,0,0,1,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,"",0,"","","","","","","","","","","","","","","","",00:00:00,true,"",0,"","","","","","","","","",00:01:54,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_136,ComSociale,0,09:07:03,09:07:29,00:00:26,00:00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,17_29_133,1,2,17_29_133,09:07:03,09:07:29,"","","","","","","","","","","","",00:00:26,false,"",0,"","","","","","","","","",00:00:26,"","","","","","","","",TRUE
2018-04-06,17,29,c2,inf2,08:56:45,10:32:52,17_29_137,Terapia,Lettura prescrizione,09:07:40,09:07:53,00:00:13,00:00:13,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,17_29_138,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:00:13,"","","","","","","","",TRUE
