session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,num of tasks in multi 5,multi task id 5,multi start 5,multi end 5,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,int task id 2,int start 2,int end 2,active 1,active 2,active 3,inactive 1,inactive 2,Participant: Age,Participant: Occupation,is session complete?
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1127,Terapia,Spunta STU somministrazione,11:58:47,11:58:59,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41_158_1128,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:12,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1128,Terapia,Allestimento/Riordino/smaltimento,11:58:59,11:59:16,00:00:17,00:00:17,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,41_158_1129,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:17,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1129,CuraDiretta,0,11:59:16,11:59:50,00:00:34,00:00:34,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_158_1130,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:34,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1130,CuraIndiretta,Altra documentazione,11:59:50,11:59:58,00:00:08,00:00:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanza Paziente,41_158_1131,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:08,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1131,Terapia,Somministrazione pillole,11:59:58,12:01:15,00:01:17,00:01:17,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_158_1133,41_158_1132,1,2,41_158_1132,12:00:45,12:01:12,"","","","","","","","","","","","","","","","",00:00:27,false,"",0,"","","","","","",00:01:17,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1132,ComProfessionale,0,12:00:45,12:01:12,00:00:27,00:00:27,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,41_158_1131,1,2,41_158_1131,12:00:45,12:01:12,"","","","","","","","","","","","","","","","",00:00:27,false,"",0,"","","","","","",00:00:27,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1133,Terapia,Allestimento/Riordino/smaltimento,12:01:15,12:01:27,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41_158_1134,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:12,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1134,CuraDiretta,0,12:01:27,12:01:43,00:00:16,00:00:16,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_158_1135,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:16,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1135,Terapia,Allestimento/Riordino/smaltimento,12:01:43,12:01:59,00:00:16,00:00:16,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanza Paziente,41_158_1136,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:16,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1136,CuraDiretta,0,12:01:59,12:02:19,00:00:20,00:00:20,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_158_1137,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:20,"","","","","","",TRUE
2018-11-19,41,158,p1,3,11:58:47,12:14:43,41_158_1137,CuraIndiretta,Altra documentazione,12:02:19,12:02:34,00:00:15,00:00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,41_158_1138,"",0,"","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:15,"","","","","","",TRUE
